trip_id,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,lat_dist,lon_dist,lat_miles,lon_miles,totaldistance,Speed,date,Time_day,age,weight,calories_burned
588426,706,4/12/2019 13:50,4/12/2019 14:02,3297,6 St & 7 Ave,40.6686627,-73.97988067,3388,President St & Henry St,40.6828003,-73.99990419,34318,Subscriber,1989,2,-0.0141376,0.02002352,-1.57252289,1.706135034,2.32,11.83148435,4/12/2019,13,20-39,167.6,119.52
599154,2103,4/7/2019 12:25,4/7/2019 13:00,3317,10 St & 5 Ave,40.6686273,-73.98700053,445,E 10 St & Avenue A,40.72740794,-73.98142006,37494,Subscriber,1989,2,-0.05878064,-0.00558047,-6.538160784,-0.475492589,6.56,11.22184581,4/7/2019,12,20-39,167.6,356.02
600548,74,4/1/2019 13:51,4/1/2019 13:52,3423,West Drive & Prospect Park West,40.66106337,-73.97945255,3423,West Drive & Prospect Park West,40.66106337,-73.97945255,28643,Subscriber,1989,2,0,0,0,0,0.00,0,4/1/2019,13,20-39,167.6,12.53
575699,3472,3/30/2019 15:19,3/30/2019 16:17,3423,West Drive & Prospect Park West,40.66106337,-73.97945255,3423,West Drive & Prospect Park West,40.66106337,-73.97945255,25901,Customer,1989,2,0,0,0,0,0.00,0,3/30/2019,15,20-39,167.6,587.79
571628,1501,3/11/2019 13:09,3/11/2019 13:34,3313,6 Ave & 12 St,40.6663181,-73.9854617,3050,Putnam Ave & Throop Ave,40.6851532,-73.94111,18696,Subscriber,1989,2,-0.0188351,-0.0443517,-2.095025032,-3.779055291,4.32,10.36330999,3/11/2019,13,20-39,167.6,254.11
548009,413,3/5/2019 22:11,3/5/2019 22:18,3297,6 St & 7 Ave,40.6686627,-73.97988067,3417,Baltic St & 5 Ave,40.6795766,-73.97854971,35033,Subscriber,1989,2,-0.0109139,-0.00133096,-1.213951277,-0.113406508,1.22,10.62773128,3/5/2019,22,20-39,167.6,69.92
555370,2513,10/7/2018 15:02,10/7/2018 15:44,3423,West Drive & Prospect Park West,40.66106337,-73.97945255,2000,Front St & Washington St,40.70255088,-73.98940236,32330,Customer,1989,2,-0.041487508,0.00994981,-4.614648607,0.847788936,4.69,6.721354608,10/7/2018,15,20-39,167.6,425.43
563848,758,9/22/2018 13:28,9/22/2018 13:41,3310,14 St & 7 Ave,40.663779,-73.98396846,3330,Henry St & Bay St,40.6725058,-74.00494695,16526,Subscriber,1989,2,-0.0087268,0.02097849,-0.970680509,1.787504732,2.03,9.660435956,9/22/2018,13,20-39,167.6,128.32
579508,287,8/7/2018 22:22,8/7/2018 22:27,3300,Prospect Park West & 8 St,40.66514682,-73.97637606,3349,Grand Army Plaza & Plaza St West,40.6729679,-73.97087984,16839,Subscriber,1989,2,-0.007821085,-0.005496217,-0.869937943,-0.468313654,0.99,12.39281364,8/7/2018,22,20-39,167.6,48.59
628761,1614,6/1/2018 22:25,6/1/2018 22:52,3478,2 Ave & 36 St - Citi Bike HQ at Industry City,40.65708867,-74.00870204,3377,Carroll St & Bond St,40.6786115,-73.99037292,19310,Subscriber,1989,2,-0.021522833,-0.01832912,-2.39398116,-1.561761034,2.86,6.375532526,6/1/2018,22,20-39,167.6,273.24
